Transaction,Instrument,Qty,Entry,Entry Price,Entry Time,Exit,Exit Price,Exit Time,Profit,Min Profit,Max Profit
1,NIFTY20FEB2522950CE,65,SELL,48,20 Feb 2025 09:16:00,BUY,0.15,20 Feb 2025 15:13:21,3110.25,3120,3120
1,NIFTY20FEB2522750PE,65,SELL,34.1,20 Feb 2025 09:16:00,BUY,0.1,20 Feb 2025 15:13:21,2210,2216.5,2216.5
1,NIFTY20FEB2522750CE,65,SELL,133.2,20 Feb 2025 09:25:00,BUY,142.4,20 Feb 2025 09:27:49,-598,8658,8658
1,NIFTY20FEB2522950PE,65,SELL,123.85,20 Feb 2025 09:25:00,BUY,133.05,20 Feb 2025 09:29:18,-598,8050.25,8050.25
2,NIFTY27FEB2523000CE,65,SELL,116,21 Feb 2025 09:16:00,BUY,71.95,21 Feb 2025 15:13:21,2863.25,7540,7540
2,NIFTY27FEB2522800PE,65,SELL,112,21 Feb 2025 09:16:00,BUY,128.45,21 Feb 2025 15:13:21,-1069.25,7280,7280
2,NIFTY27FEB2523000CE,65,SELL,123.15,21 Feb 2025 09:25:00,BUY,71.95,21 Feb 2025 15:13:21,3328,8004.75,8004.75
2,NIFTY27FEB2522850PE,65,SELL,124.6,21 Feb 2025 09:25:00,BUY,133.8,21 Feb 2025 09:41:01,-598,8099,8099
3,NIFTY27FEB2522750CE,65,SELL,120.5,24 Feb 2025 09:16:00,BUY,43.9,24 Feb 2025 15:13:21,4979,7832.5,7832.5
3,NIFTY27FEB2522550PE,65,SELL,75.8,24 Feb 2025 09:16:00,BUY,72.7,24 Feb 2025 15:13:21,201.5,4927,4927
3,NIFTY27FEB2522650CE,65,SELL,131.65,24 Feb 2025 09:25:00,BUY,82.85,24 Feb 2025 15:13:21,3172,8557.25,8557.25
3,NIFTY27FEB2522650PE,65,SELL,129.95,24 Feb 2025 09:25:00,BUY,139.15,24 Feb 2025 09:37:51,-598,8446.75,8446.75
4,NIFTY27FEB2522650CE,65,SELL,68.3,25 Feb 2025 09:16:00,BUY,26.9,25 Feb 2025 15:13:21,2691,4439.5,4439.5
4,NIFTY27FEB2522450PE,65,SELL,46.15,25 Feb 2025 09:16:00,BUY,21.3,25 Feb 2025 15:13:21,1615.25,2999.75,2999.75
4,NIFTY27FEB2522550CE,65,SELL,106.75,25 Feb 2025 09:25:00,BUY,115.95,25 Feb 2025 09:33:34,-598,6938.75,6938.75
4,NIFTY27FEB2522650PE,65,SELL,116.15,25 Feb 2025 09:25:00,BUY,125.35,25 Feb 2025 09:25:54,-598,7549.75,7549.75
5,NIFTY27FEB2522700CE,65,SELL,6.05,27 Feb 2025 09:16:00,BUY,0.1,27 Feb 2025 15:13:21,386.75,393.25,393.25
5,NIFTY27FEB2522500PE,65,SELL,16.6,27 Feb 2025 09:16:00,BUY,0.2,27 Feb 2025 15:13:21,1066,1079,1079
5,NIFTY27FEB2522450CE,65,SELL,140,27 Feb 2025 09:25:00,BUY,102.2,27 Feb 2025 15:13:21,2457,9100,9100
5,NIFTY27FEB2522700PE,65,SELL,121.7,27 Feb 2025 09:25:00,BUY,130.9,27 Feb 2025 09:27:11,-598,7910.5,7910.5
6,NIFTY06MAR2522450CE,65,SELL,138.2,28 Feb 2025 09:16:00,BUY,48,28 Feb 2025 15:13:21,5863,8983,8983
6,NIFTY06MAR2522250PE,65,SELL,89.95,28 Feb 2025 09:16:00,BUY,181,28 Feb 2025 15:13:21,-5918.25,5846.75,5846.75
6,NIFTY06MAR2522450CE,65,SELL,122.05,28 Feb 2025 09:25:00,BUY,48,28 Feb 2025 15:13:21,4813.25,7933.25,7933.25
6,NIFTY06MAR2522350PE,65,SELL,117.35,28 Feb 2025 09:25:00,BUY,126.55,28 Feb 2025 09:31:27,-598,7627.75,7627.75
7,NIFTY06MAR2522300CE,65,SELL,102.15,03 Mar 2025 09:16:00,BUY,54.5,03 Mar 2025 15:13:21,3097.25,6639.75,6639.75
