Trade #,Type,Date and time,Signal,Price INR,Position size (qty),Position size (value),Net P&L INR,Net P&L %,Favorable excursion INR,Favorable excursion %,Adverse excursion INR,Adverse excursion %,Cumulative P&L INR,Cumulative P&L %
1,Exit short,2023-05-11 10:15,Exit Short,999.8,100,95800,-4280,-4.47,25,0.03,-4735,-4.94,-4280,-0.43
1,Entry short,2023-05-09 14:15,Enter Short,958,100,95800,-4280,-4.47,25,0.03,-4735,-4.94,-4280,-0.43
2,Exit long,2023-05-15 12:15,Exit Long,1014,100,104035,-2735,-2.63,55,0.05,-3235,-3.11,-7015,-0.70
2,Entry long,2023-05-12 10:15,Enter Long,1040.35,100,104035,-2735,-2.63,55,0.05,-3235,-3.11,-7015,-0.70
3,Exit short,2023-05-17 10:15,Exit Short,1165,100,99660,-16940,-16.99,495,0.50,-18890,-18.94,-23955,-2.40
3,Entry short,2023-05-15 15:15,Enter Short,996.6,100,99660,-16940,-16.99,495,0.50,-18890,-18.94,-23955,-2.40
4,Exit long,2023-05-26 09:15,Exit Long,1330,100,115000,17900,15.56,19790,17.20,-3940,-3.42,-6105,-0.61
4,Entry long,2023-05-17 11:15,Enter Long,1150,100,115000,17900,15.56,19790,17.20,-3940,-3.42,-6105,-0.61
5,Exit long,2023-06-02 13:15,Exit Long,1415,100,128140,13260,10.34,17285,13.48,-4005,-3.12,7155,0.72
5,Entry long,2023-05-22 11:15,Enter Long,1281.4,100,128140,13260,10.34,17285,13.48,-4005,-3.12,7155,0.72
6,Exit long,2023-06-14 10:15,Exit Long,1529.85,100,142205,10680,7.51,20215,14.21,-9255,-6.51,17735,1.77
6,Entry long,2023-05-30 13:15,Enter Long,1422.05,100,142205,10680,7.51,20215,14.21,-9255,-6.51,17735,1.77
7,Exit long,2023-06-26 11:15,Enter Short,1467,100,143815,2785,1.94,18605,12.93,-2365,-1.64,20570,2.06
7,Entry long,2023-06-07 10:15,Enter Long,1438.15,100,143815,2785,1.94,18605,12.93,-2365,-1.64,20570,2.06
8,Exit long,2023-07-27 12:15,Exit Long,1835.5,100,151715,31735,20.91,39230,25.85,-7260,-4.78,52305,5.23
8,Entry long,2023-06-09 11:15,Enter Long,1517.15,100,151715,31735,20.91,39230,25.85,-7260,-4.78,52305,5.23
9,Exit long,2023-08-01 12:15,Enter Short,1729.85,100,159400,13485,8.46,31545,19.78,-13340,-8.37,65840,6.58
9,Entry long,2023-06-13 15:15,Enter Long,1594,100,159400,13485,8.46,31545,19.78,-13340,-8.37,65840,6.58
10,Exit long,2023-08-29 15:15,Exit Long,1992.05,100,186995,12110,6.47,27950,14.94,-18545,-9.91,77950,7.80
10,Entry long,2023-07-25 11:15,Enter Long,1869.95,100,186995,12110,6.47,27950,14.94,-18545,-9.91,77950,7.80
11,Exit long,2023-09-12 13:15,Exit Long,2095.75,100,200435,9040,4.51,22515,11.23,-10985,-5.48,86990,8.70
11,Entry long,2023-08-25 10:15,Enter Long,2004.35,100,200435,9040,4.51,22515,11.23,-10985,-5.48,86990,8.70
12,Exit long,2023-10-13 14:15,Exit Long,2697.15,100,213270,56345,26.41,83240,39.02,-14710,-6.90,143285,14.33
12,Entry long,2023-09-11 12:15,Enter Long,2132.7,100,213270,56345,26.41,83240,39.02,-14710,-6.90,143285,14.33
13,Exit long,2023-12-21 09:15,Exit Long,2699.3,100,222100,47730,21.49,77850,35.04,-6350,-2.86,191015,19.10
13,Entry long,2023-09-27 14:15,Enter Long,2221,100,222100,47730,21.49,77850,35.04,-6350,-2.86,191015,19.10
14,Exit long,2023-12-21 10:15,Enter Short,2699.9,100,248860,21030,8.45,51090,20.53,-33110,-13.30,212095,21.21
14,Entry long,2023-10-05 10:15,Enter Long,2488.6,100,248860,21030,8.45,51090,20.53,-33110,-13.30,212095,21.21
15,Exit long,2024-01-16 13:15,Exit Long,2720.05,100,260610,11295,4.33,39340,15.09,-16155,-6.20,223390,22.34
15,Entry long,2023-12-15 11:15,Enter Long,2606.1,100,260610,11295,4.33,39340,15.09,-16155,-6.20,223390,22.34
16,Exit long,2024-01-19 09:15,Enter Short,2693.95,100,274010,-4715,-1.72,9275,3.38,-10060,-3.67,218725,21.87
16,Entry long,2024-01-12 10:15,Enter Long,2740.1,100,274010,-4715,-1.72,9275,3.38,-10060,-3.67,218725,21.87
17,Exit long,2024-01-30 15:15,Exit Long,2829.5,100,285000,-2150,-0.75,10040,3.52,-7010,-2.46,216575,21.66
17,Entry long,2024-01-24 10:15,Enter Long,2850,100,285000,-2150,-0.75,10040,3.52,-7010,-2.46,216575,21.66
18,Exit short,2024-02-02 10:15,Exit Short,2842.3,100,299000,14670,4.91,20850,6.97,-50,-0.02,231245,23.12
18,Entry short,2024-01-31 09:15,Enter Short,2990,100,299000,14670,4.91,20850,6.97,-50,-0.02,231245,23.12
19,Exit long,2024-03-06 11:15,Exit Long,2974.65,100,311100,-13735,-4.41,13735,4.41,-15485,-4.98,217510,21.75
19,Entry long,2024-03-04 15:15,Enter Long,3111,100,311100,-13735,-4.41,13735,4.41,-15485,-4.98,217510,21.75
20,Exit long,2024-05-23 13:15,Exit Long,3347.05,100,290505,44100,15.18,73815,25.40,-2055,-0.71,261610,26.16
20,Entry long,2024-05-17 10:15,Enter Long,2905.05,100,290505,44100,15.18,73815,25.40,-2055,-0.71,261610,26.16
21,Exit short,2024-06-06 10:15,Exit Short,3104.7,100,328490,17920,5.45,47040,14.32,-3085,-0.94,279530,27.95
21,Entry short,2024-06-04 11:15,Enter Short,3284.9,100,328490,17920,5.45,47040,14.32,-3085,-0.94,279530,27.95
22,Exit long,2024-06-19 12:15,Exit Long,3841,100,337515,46485,13.77,65435,19.38,-6360,-1.88,326015,32.60
22,Entry long,2024-06-10 10:15,Enter Long,3375.15,100,337515,46485,13.77,65435,19.38,-6360,-1.88,326015,32.60
23,Exit short,2024-07-23 10:15,Exit Short,3990,100,393100,-6000,-1.53,11450,2.91,-10650,-2.71,320015,32.00
23,Entry short,2024-07-19 10:15,Enter Short,3931,100,393100,-6000,-1.53,11450,2.91,-10650,-2.71,320015,32.00
24,Exit long,2024-07-31 10:15,Exit Long,4487.35,100,447735,900,0.20,25115,5.61,-1985,-0.44,320915,32.09
24,Entry long,2024-07-29 10:15,Enter Long,4477.35,100,447735,900,0.20,25115,5.61,-1985,-0.44,320915,32.09
25,Exit short,2024-08-07 11:15,Exit Short,4215,100,428915,7315,1.71,22365,5.21,-11035,-2.57,328230,32.82
25,Entry short,2024-08-02 10:15,Enter Short,4289.15,100,428915,7315,1.71,22365,5.21,-11035,-2.57,328230,32.82
